"Team" "Date" "" "Opponent" "Result" "Cmp" "Att" "Pct" "Yds" "TD" "Att" "Yds" "Avg" "TD" "Plays" "Yds" "Avg" "Pass" "Rush" "Pen" "Tot" "No." "Yds" "Fum" "Int" "Tot"
"44" "tulsa" "2017-09-16" "@" "Toledo" "L (51-54)" 12 20 60 125 0 68 423 6.2 6 88 548 6.2 4 21 4 29 9 97 0 0 0
"54" "tulsa" "2017-09-23" "" "New Mexico" "L (13-16)" 13 27 48.1 131 0 31 155 5 1 58 286 4.9 8 6 1 15 6 59 0 1 1
"64" "tulsa" "2017-09-30" "" "Navy" "L (21-31)" 12 18 66.7 115 1 39 229 5.9 2 57 344 6 4 6 2 12 5 40 0 0 0
"74" "tulsa" "2017-10-07" "@" "Tulane" "L (28-62)" 12 20 60 273 1 28 139 5 3 48 412 8.6 6 9 1 16 4 36 1 1 2
"84" "tulsa" "2017-10-14" "" "Houston" "W (45-17)" 9 18 50 128 1 53 288 5.4 4 71 416 5.9 3 16 1 20 9 70 0 1 1
"94" "tulsa" "2017-10-21" "@" "Connecticut" "L (14-20)" 17 28 60.7 259 0 44 194 4.4 2 72 453 6.3 11 9 3 23 5 47 0 1 1
"104" "tulsa" "2017-10-27" "@" "Southern Methodist" "L (34-38)" 9 25 36 212 1 53 246 4.6 3 78 458 5.9 6 12 4 22 8 73 0 1 1
"114" "tulsa" "2017-11-03" "" "Memphis" "L (14-41)" 18 31 58.1 157 0 35 145 4.1 2 66 302 4.6 7 8 2 17 14 103 0 1 1
"124" "tulsa" "2017-11-16" "@" "South Florida" "L (20-27)" 14 28 50 191 0 55 166 3 2 83 357 4.3 7 13 2 22 7 46 0 0 0
"134" "tulsa" "2017-11-25" "" "Temple" "L (22-43)" 6 19 31.6 55 1 54 314 5.8 1 73 369 5.1 2 18 5 25 6 55 1 2 3
