"Team" "Date" "" "Opponent" "Result" "Cmp" "Att" "Pct" "Yds" "TD" "Att" "Yds" "Avg" "TD" "Plays" "Yds" "Avg" "Pass" "Rush" "Pen" "Tot" "No." "Yds" "Fum" "Int" "Tot"
"6122" "bowling-green-state" "2017-09-30" "" "Akron" "L (23-34)" 25 39 64.1 195 2 41 181 4.4 1 80 376 4.7 6 11 0 17 8 77 2 2 4
"7122" "bowling-green-state" "2017-10-07" "@" "Miami (OH)" "W (37-29)" 12 26 46.2 230 3 41 275 6.7 1 67 505 7.5 7 14 5 26 10 95 0 1 1
"8122" "bowling-green-state" "2017-10-14" "" "Ohio" "L (30-48)" 17 43 39.5 192 1 47 229 4.9 2 90 421 4.7 10 10 2 22 5 55 2 2 4
"9122" "bowling-green-state" "2017-10-21" "" "Northern Illinois" "L (17-48)" 13 23 56.5 175 1 44 192 4.4 1 67 367 5.5 8 9 1 18 6 53 2 3 5
"10122" "bowling-green-state" "2017-10-31" "@" "Kent State" "W (44-16)" 14 19 73.7 174 2 46 227 4.9 3 65 401 6.2 7 10 1 18 10 73 0 0 0
"11122" "bowling-green-state" "2017-11-07" "@" "Buffalo" "L (28-38)" 28 43 65.1 294 3 30 100 3.3 1 73 394 5.4 11 8 2 21 6 54 3 0 3
"12122" "bowling-green-state" "2017-11-15" "" "Toledo" "L (37-66)" 18 31 58.1 309 4 33 82 2.5 1 64 391 6.1 13 4 3 21 9 102 0 1 1
"13119" "bowling-green-state" "2017-11-21" "@" "Eastern Michigan" "L (31-34)" 21 34 61.8 256 2 31 209 6.7 2 65 465 7.2 11 8 3 22 8 78 1 1 2
"2123" "louisiana-lafayette" "2017-09-02" "" "Southeastern Louisiana" "W (51-48)" 12 23 52.2 162 1 36 201 5.6 4 59 363 6.2 6 9 0 16 4 16 0 0 0
"3123" "louisiana-lafayette" "2017-09-09" "@" "Tulsa" "L (42-66)" 21 34 61.8 309 2 41 287 7 4 75 596 7.9 16 11 0 27 7 64 0 2 2
"4123" "louisiana-lafayette" "2017-09-16" "@" "Texas A&M" "L (21-45)" 28 44 63.6 216 2 29 93 3.2 1 73 309 4.2 10 7 0 17 4 25 2 3 5
"5123" "louisiana-lafayette" "2017-09-23" "" "Louisiana-Monroe" "L (50-56)" 24 43 55.8 295 2 47 231 4.9 5 90 526 5.8 15 14 3 32 5 35 0 0 0
"6123" "louisiana-lafayette" "2017-10-07" "@" "Idaho" "W (21-16)" 19 28 67.9 213 1 39 84 2.2 2 67 297 4.4 12 8 2 22 6 32 0 1 1
"7123" "louisiana-lafayette" "2017-10-12" "" "Texas State" "W (24-7)" 17 27 63 232 1 38 135 3.6 2 65 367 5.6 12 7 0 19 5 34 0 0 0
